Sentence,Head,Relation,Tail
Carrier taught that scientific research and its promise for progress were not antagonistic to the ideals of intellectual and moral culture endorsed by the Church,progress,isNotAntagonisticTo,ideals of intellectual and moral culture
Carrier taught that scientific research and its promise for progress were not antagonistic to the ideals of intellectual and moral culture endorsed by the Church,ideals of intellectual and moral culture,isEndorsedBy,the Church
One of Carrier's students was Father John Augustine Zahm (1851–1921) who was made Professor and Co-Director of the Science Department at age 23 and by 1900 was a nationally prominent scientist and naturalist,Father John Augustine Zahm,wasStudentOf,Carrier
One of Carrier's students was Father John Augustine Zahm (1851–1921) who was made Professor and Co-Director of the Science Department at age 23 and by 1900 was a nationally prominent scientist and naturalist,Father John Augustine Zahm,wasProfessorAt,Science Department
One of Carrier's students was Father John Augustine Zahm (1851–1921) who was made Professor and Co-Director of the Science Department at age 23 and by 1900 was a nationally prominent scientist and naturalist,Father John Augustine Zahm,wasCoDirectorOf,Science Department
One of Carrier's students was Father John Augustine Zahm (1851–1921) who was made Professor and Co-Director of the Science Department at age 23 and by 1900 was a nationally prominent scientist and naturalist,Father John Augustine Zahm,was,nationally prominent scientist and naturalist
"Zahm was active in the Catholic Summer School movement, which introduced Catholic laity to contemporary intellectual issues",Zahm,wasActiveIn,Catholic Summer School movement
"Zahm was active in the Catholic Summer School movement, which introduced Catholic laity to contemporary intellectual issues",Catholic Summer School movement,introduced,Catholic laity
"Zahm was active in the Catholic Summer School movement, which introduced Catholic laity to contemporary intellectual issues",Catholic laity,to,contemporary intellectual issues
"His book Evolution and Dogma (1896) defended certain aspects of evolutionary theory as true, and argued, moreover, that even the great Church teachers Thomas Aquinas and Augustine taught something like it",Evolution and Dogma,writtenBy,
"His book Evolution and Dogma (1896) defended certain aspects of evolutionary theory as true, and argued, moreover, that even the great Church teachers Thomas Aquinas and Augustine taught something like it",Thomas Aquinas,taught,evolutionary theory
"His book Evolution and Dogma (1896) defended certain aspects of evolutionary theory as true, and argued, moreover, that even the great Church teachers Thomas Aquinas and Augustine taught something like it",Augustine,taught,evolutionary theory
The intervention of Irish American Catholics in Rome prevented Zahm's censure by the Vatican,Irish American Catholics,intervenedIn,Rome
The intervention of Irish American Catholics in Rome prevented Zahm's censure by the Vatican,Zahm,wasCensuredBy,the Vatican
"In 1913, Zahm and former President Theodore Roosevelt embarked on a major expedition through the Amazon.",Zahm,embarkedOn,expedition
"In 1913, Zahm and former President Theodore Roosevelt embarked on a major expedition through the Amazon.",Theodore Roosevelt,embarkedOn,expedition
"In 1913, Zahm and former President Theodore Roosevelt embarked on a major expedition through the Amazon.",expedition,through,Amazon
"In 1882, Albert Zahm (John Zahm's brother) built an early wind tunnel used to compare lift to drag of aeronautical models",Albert Zahm,built,wind tunnel
"In 1882, Albert Zahm (John Zahm's brother) built an early wind tunnel used to compare lift to drag of aeronautical models",Albert Zahm,isBrotherOf,John Zahm
"In 1882, Albert Zahm (John Zahm's brother) built an early wind tunnel used to compare lift to drag of aeronautical models",wind tunnel,usedFor,comparing lift to drag
"Around 1899, Professor Jerome Green became the first American to send a wireless message",Jerome Green,became,first American
"Around 1899, Professor Jerome Green became the first American to send a wireless message",Jerome Green,sent,wireless message
"In 1931, Father Julius Nieuwland performed early work on basic reactions that was used to create neoprene",Julius Nieuwland,performedWorkOn,basic reactions
"In 1931, Father Julius Nieuwland performed early work on basic reactions that was used to create neoprene",basic reactions,usedToCreate,neoprene
"Study of nuclear physics at the university began with the building of a nuclear accelerator in 1936, and continues now partly through a partnership in the Joint Institute for Nuclear Astrophysics.",nuclear physics,isStudiedAt,university
"Study of nuclear physics at the university began with the building of a nuclear accelerator in 1936, and continues now partly through a partnership in the Joint Institute for Nuclear Astrophysics.",nuclear accelerator,isBuiltIn,1936
"Study of nuclear physics at the university began with the building of a nuclear accelerator in 1936, and continues now partly through a partnership in the Joint Institute for Nuclear Astrophysics.",Joint Institute for Nuclear Astrophysics,isPartnerOf,university
The Lobund Institute grew out of pioneering research in germ-free-life which began in 1928,The Lobund Institute,grewOut,research in germ-free-life
The Lobund Institute grew out of pioneering research in germ-free-life which began in 1928,research in germ-free-life,beganIn,1928
This area of research originated in a question posed by Pasteur as to whether animal life was possible without bacteria,Pasteur,posed,question
"Though others had taken up this idea, their research was short lived and inconclusive",others,conductedResearch,this idea
"Lobund was the first research organization to answer definitively, that such life is possible and that it can be prolonged through generations",Lobund,answer,life is possible
"Lobund was the first research organization to answer definitively, that such life is possible and that it can be prolonged through generations",Lobund,study,generations
But the objective was not merely to answer Pasteur's question but also to produce the germ free animal as a new tool for biological and medical research,Pasteur,asked,question
But the objective was not merely to answer Pasteur's question but also to produce the germ free animal as a new tool for biological and medical research,animal,isToolFor,biological and medical research
This objective was reached and for years Lobund was a unique center for the study and production of germ free animals and for their use in biological and medical investigations,Lobund,isLocationFor,study
This objective was reached and for years Lobund was a unique center for the study and production of germ free animals and for their use in biological and medical investigations,Lobund,isLocationFor,production
This objective was reached and for years Lobund was a unique center for the study and production of germ free animals and for their use in biological and medical investigations,Lobund,isLocationFor,germ free animals
This objective was reached and for years Lobund was a unique center for the study and production of germ free animals and for their use in biological and medical investigations,germ free animals,areUsedIn,biological investigations
This objective was reached and for years Lobund was a unique center for the study and production of germ free animals and for their use in biological and medical investigations,germ free animals,areUsedIn,medical investigations
In the beginning it was under the Department of Biology and a program leading to the master's degree accompanied the research program,Department of Biology,hasProgram,program leading to the master's degree
In the 1940s Lobund achieved independent status as a purely research organization and in 1950 was raised to the status of an Institute,Lobund,hasStatus,independent status
In the 1940s Lobund achieved independent status as a purely research organization and in 1950 was raised to the status of an Institute,Lobund,hasStatus,Institute
"In 1958 it was brought back into the Department of Biology as integral part of that department, but with its own program leading to the degree of PhD in Gnotobiotics.",Department of Biology,hasPart,program
"In 1958 it was brought back into the Department of Biology as integral part of that department, but with its own program leading to the degree of PhD in Gnotobiotics.",program,leadsTo,PhD in Gnotobiotics
"The Review of Politics was founded in 1939 by Gurian, modeled after German Catholic journals",The Review of Politics,wasFoundedBy,Gurian
"The Review of Politics was founded in 1939 by Gurian, modeled after German Catholic journals",The Review of Politics,wasModeledAfter,German Catholic journals
"It quickly emerged as part of an international Catholic intellectual revival, offering an alternative vision to positivist philosophy",Catholic intellectual revival,isPartOf,international
"It quickly emerged as part of an international Catholic intellectual revival, offering an alternative vision to positivist philosophy",Catholic intellectual revival,offers,alternative vision
"It quickly emerged as part of an international Catholic intellectual revival, offering an alternative vision to positivist philosophy",alternative vision,isAlternativeTo,positivist philosophy
"For 44 years, the Review was edited by Gurian, Matthew Fitzsimons, Frederick Crosson, and Thomas Stritch",Review,editedBy,Gurian
"For 44 years, the Review was edited by Gurian, Matthew Fitzsimons, Frederick Crosson, and Thomas Stritch",Review,editedBy,Matthew Fitzsimons
"For 44 years, the Review was edited by Gurian, Matthew Fitzsimons, Frederick Crosson, and Thomas Stritch",Review,editedBy,Frederick Crosson
"For 44 years, the Review was edited by Gurian, Matthew Fitzsimons, Frederick Crosson, and Thomas Stritch",Review,editedBy,Thomas Stritch
"Intellectual leaders included Gurian, Jacques Maritain, Frank O'Malley, Leo Richard Ward, F",Gurian,isLeaderOf,Intellectual
"Intellectual leaders included Gurian, Jacques Maritain, Frank O'Malley, Leo Richard Ward, F",Jacques Maritain,isLeaderOf,Intellectual
"Intellectual leaders included Gurian, Jacques Maritain, Frank O'Malley, Leo Richard Ward, F",Frank O'Malley,isLeaderOf,Intellectual
"Intellectual leaders included Gurian, Jacques Maritain, Frank O'Malley, Leo Richard Ward, F",Leo Richard Ward,isLeaderOf,Intellectual
"Intellectual leaders included Gurian, Jacques Maritain, Frank O'Malley, Leo Richard Ward, F",F,isLeaderOf,Intellectual
"It became a major forum for political ideas and modern political concerns, especially from a Catholic and scholastic tradition.",forum,isAbout,political ideas
"It became a major forum for political ideas and modern political concerns, especially from a Catholic and scholastic tradition.",forum,isAbout,modern political concerns
"It became a major forum for political ideas and modern political concerns, especially from a Catholic and scholastic tradition.",forum,hasTradition,Catholic
"It became a major forum for political ideas and modern political concerns, especially from a Catholic and scholastic tradition.",forum,hasTradition,scholastic
As of 2012[update] research continued in many fields,research,continuedIn,2012
"The university president, John Jenkins, described his hope that Notre Dame would become ""one of the pre–eminent research institutions in the world"" in his inaugural address",John Jenkins,isPresidentOf,Notre Dame
"The university president, John Jenkins, described his hope that Notre Dame would become ""one of the pre–eminent research institutions in the world"" in his inaugural address",Notre Dame,hasGoal,become one of the pre–eminent research institutions in the world
"The university has many multi-disciplinary institutes devoted to research in varying fields, including the Medieval Institute, the Kellogg Institute for International Studies, the Kroc Institute for International Peace studies, and the Center for Social Concerns",Medieval Institute,isPartOf,university
"The university has many multi-disciplinary institutes devoted to research in varying fields, including the Medieval Institute, the Kellogg Institute for International Studies, the Kroc Institute for International Peace studies, and the Center for Social Concerns",Kellogg Institute for International Studies,isPartOf,university
"The university has many multi-disciplinary institutes devoted to research in varying fields, including the Medieval Institute, the Kellogg Institute for International Studies, the Kroc Institute for International Peace studies, and the Center for Social Concerns",Kroc Institute for International Peace studies,isPartOf,university
"The university has many multi-disciplinary institutes devoted to research in varying fields, including the Medieval Institute, the Kellogg Institute for International Studies, the Kroc Institute for International Peace studies, and the Center for Social Concerns",Center for Social Concerns,isPartOf,university
"Recent research includes work on family conflict and child development, genome mapping, the increasing trade deficit of the United States with China, studies in fluid mechanics, computational science and engineering, and marketing trends on the Internet",family conflict,relatedTo,child development
"Recent research includes work on family conflict and child development, genome mapping, the increasing trade deficit of the United States with China, studies in fluid mechanics, computational science and engineering, and marketing trends on the Internet",United States,hasTradeDeficitWith,China
"Recent research includes work on family conflict and child development, genome mapping, the increasing trade deficit of the United States with China, studies in fluid mechanics, computational science and engineering, and marketing trends on the Internet",fluid mechanics,isPartOf,computational science and engineering
"Recent research includes work on family conflict and child development, genome mapping, the increasing trade deficit of the United States with China, studies in fluid mechanics, computational science and engineering, and marketing trends on the Internet",marketing trends,isAvailableOn,Internet
"As of 2013, the university is home to the Notre Dame Global Adaptation Index which ranks countries annually based on how vulnerable they are to climate change and how prepared they are to adapt.",Notre Dame Global Adaptation Index,isLocatedAt,university
"As of 2013, the university is home to the Notre Dame Global Adaptation Index which ranks countries annually based on how vulnerable they are to climate change and how prepared they are to adapt.",countries,areRankedBy,Notre Dame Global Adaptation Index
"As of 2013, the university is home to the Notre Dame Global Adaptation Index which ranks countries annually based on how vulnerable they are to climate change and how prepared they are to adapt.",countries,haveVulnerabilityTo,climate change
"As of 2013, the university is home to the Notre Dame Global Adaptation Index which ranks countries annually based on how vulnerable they are to climate change and how prepared they are to adapt.",countries,havePreparationFor,adapt
"In 2014 the Notre Dame student body consisted of 12,179 students, with 8,448 undergraduates, 2,138 graduate and professional and 1,593 professional (Law, M.Div., Business, M.Ed.) students",Notre Dame,hasStudentBody,"12,179 students"
"In 2014 the Notre Dame student body consisted of 12,179 students, with 8,448 undergraduates, 2,138 graduate and professional and 1,593 professional (Law, M.Div., Business, M.Ed.) students",Notre Dame,hasUndergraduates,"8,448 undergraduates"
"In 2014 the Notre Dame student body consisted of 12,179 students, with 8,448 undergraduates, 2,138 graduate and professional and 1,593 professional (Law, M.Div., Business, M.Ed.) students",Notre Dame,hasGraduateAndProfessionalStudents,"2,138 graduate and professional students"
"In 2014 the Notre Dame student body consisted of 12,179 students, with 8,448 undergraduates, 2,138 graduate and professional and 1,593 professional (Law, M.Div., Business, M.Ed.) students",Notre Dame,hasProfessionalStudents,"1,593 professional students"
"Around 21–24% of students are children of alumni, and although 37% of students come from the Midwestern United States, the student body represents all 50 states and 100 countries",students,areChildrenOf,alumni
"Around 21–24% of students are children of alumni, and although 37% of students come from the Midwestern United States, the student body represents all 50 states and 100 countries",students,comeFrom,Midwestern United States
"Around 21–24% of students are children of alumni, and although 37% of students come from the Midwestern United States, the student body represents all 50 states and 100 countries",student body,represents,all 50 states
"Around 21–24% of students are children of alumni, and although 37% of students come from the Midwestern United States, the student body represents all 50 states and 100 countries",student body,represents,100 countries
As of March 2007[update] The Princeton Review ranked the school as the fifth highest 'dream school' for parents to send their children,The Princeton Review,ranked,school
As of March 2007[update] The Princeton Review ranked the school as the fifth highest 'dream school' for parents to send their children,school,isDreamSchoolFor,parents
As of March 2015[update] The Princeton Review ranked Notre Dame as the ninth highest,Notre Dame,rankedBy,The Princeton Review
"The school has been previously criticized for its lack of diversity, and The Princeton Review ranks the university highly among schools at which ""Alternative Lifestyles [are] Not an Alternative."" It has also been commended by some diversity oriented publications; Hispanic Magazine in 2004 ranked the university ninth on its list of the top–25 colleges for Latinos, and The Journal of Blacks in Higher Education recognized the university in 2006 for raising enrollment of African-American students",The Princeton Review,ranks,the university
"The school has been previously criticized for its lack of diversity, and The Princeton Review ranks the university highly among schools at which ""Alternative Lifestyles [are] Not an Alternative."" It has also been commended by some diversity oriented publications; Hispanic Magazine in 2004 ranked the university ninth on its list of the top–25 colleges for Latinos, and The Journal of Blacks in Higher Education recognized the university in 2006 for raising enrollment of African-American students",Hispanic Magazine,ranked,the university
"The school has been previously criticized for its lack of diversity, and The Princeton Review ranks the university highly among schools at which ""Alternative Lifestyles [are] Not an Alternative."" It has also been commended by some diversity oriented publications; Hispanic Magazine in 2004 ranked the university ninth on its list of the top–25 colleges for Latinos, and The Journal of Blacks in Higher Education recognized the university in 2006 for raising enrollment of African-American students",the university,isRanked,ninth
"The school has been previously criticized for its lack of diversity, and The Princeton Review ranks the university highly among schools at which ""Alternative Lifestyles [are] Not an Alternative."" It has also been commended by some diversity oriented publications; Hispanic Magazine in 2004 ranked the university ninth on its list of the top–25 colleges for Latinos, and The Journal of Blacks in Higher Education recognized the university in 2006 for raising enrollment of African-American students",The Journal of Blacks in Higher Education,recognized,the university
"The school has been previously criticized for its lack of diversity, and The Princeton Review ranks the university highly among schools at which ""Alternative Lifestyles [are] Not an Alternative."" It has also been commended by some diversity oriented publications; Hispanic Magazine in 2004 ranked the university ninth on its list of the top–25 colleges for Latinos, and The Journal of Blacks in Higher Education recognized the university in 2006 for raising enrollment of African-American students",the university,raisedEnrollment,African-American students
"The school has been previously criticized for its lack of diversity, and The Princeton Review ranks the university highly among schools at which ""Alternative Lifestyles [are] Not an Alternative."" It has also been commended by some diversity oriented publications; Hispanic Magazine in 2004 ranked the university ninth on its list of the top–25 colleges for Latinos, and The Journal of Blacks in Higher Education recognized the university in 2006 for raising enrollment of African-American students",the school,hasLack,diversity
"With 6,000 participants, the university's intramural sports program was named in 2004 by Sports Illustrated as the best program in the country, while in 2007 The Princeton Review named it as the top school where ""Everyone Plays Intramural Sports."" The annual Bookstore Basketball tournament is the largest outdoor five-on-five tournament in the world with over 700 teams participating each year, while the Notre Dame Men's Boxing Club hosts the annual Bengal Bouts tournament that raises money for the Holy Cross Missions in Bangladesh.",university's intramural sports program,wasNamed,best program in the country
"With 6,000 participants, the university's intramural sports program was named in 2004 by Sports Illustrated as the best program in the country, while in 2007 The Princeton Review named it as the top school where ""Everyone Plays Intramural Sports."" The annual Bookstore Basketball tournament is the largest outdoor five-on-five tournament in the world with over 700 teams participating each year, while the Notre Dame Men's Boxing Club hosts the annual Bengal Bouts tournament that raises money for the Holy Cross Missions in Bangladesh.",university's intramural sports program,wasNamed,top school where Everyone Plays Intramural Sports
"With 6,000 participants, the university's intramural sports program was named in 2004 by Sports Illustrated as the best program in the country, while in 2007 The Princeton Review named it as the top school where ""Everyone Plays Intramural Sports."" The annual Bookstore Basketball tournament is the largest outdoor five-on-five tournament in the world with over 700 teams participating each year, while the Notre Dame Men's Boxing Club hosts the annual Bengal Bouts tournament that raises money for the Holy Cross Missions in Bangladesh.",Bookstore Basketball tournament,is,largest outdoor five-on-five tournament
"With 6,000 participants, the university's intramural sports program was named in 2004 by Sports Illustrated as the best program in the country, while in 2007 The Princeton Review named it as the top school where ""Everyone Plays Intramural Sports."" The annual Bookstore Basketball tournament is the largest outdoor five-on-five tournament in the world with over 700 teams participating each year, while the Notre Dame Men's Boxing Club hosts the annual Bengal Bouts tournament that raises money for the Holy Cross Missions in Bangladesh.",Notre Dame Men's Boxing Club,hosts,Bengal Bouts tournament
"With 6,000 participants, the university's intramural sports program was named in 2004 by Sports Illustrated as the best program in the country, while in 2007 The Princeton Review named it as the top school where ""Everyone Plays Intramural Sports."" The annual Bookstore Basketball tournament is the largest outdoor five-on-five tournament in the world with over 700 teams participating each year, while the Notre Dame Men's Boxing Club hosts the annual Bengal Bouts tournament that raises money for the Holy Cross Missions in Bangladesh.",Bengal Bouts tournament,raisesMoneyFor,Holy Cross Missions
"With 6,000 participants, the university's intramural sports program was named in 2004 by Sports Illustrated as the best program in the country, while in 2007 The Princeton Review named it as the top school where ""Everyone Plays Intramural Sports."" The annual Bookstore Basketball tournament is the largest outdoor five-on-five tournament in the world with over 700 teams participating each year, while the Notre Dame Men's Boxing Club hosts the annual Bengal Bouts tournament that raises money for the Holy Cross Missions in Bangladesh.",Holy Cross Missions,isLocatedIn,Bangladesh
About 80% of undergraduates and 20% of graduate students live on campus,undergraduates,liveIn,campus
About 80% of undergraduates and 20% of graduate students live on campus,graduate students,liveIn,campus
"The majority of the graduate students on campus live in one of four graduate housing complexes on campus, while all on-campus undergraduates live in one of the 29 residence halls",graduate students,liveIn,graduate housing complexes
"The majority of the graduate students on campus live in one of four graduate housing complexes on campus, while all on-campus undergraduates live in one of the 29 residence halls",on-campus undergraduates,liveIn,residence halls
"Because of the religious affiliation of the university, all residence halls are single-sex, with 15 male dorms and 14 female dorms",residence halls,are,single-sex
"Because of the religious affiliation of the university, all residence halls are single-sex, with 15 male dorms and 14 female dorms",university,has,residence halls
"Because of the religious affiliation of the university, all residence halls are single-sex, with 15 male dorms and 14 female dorms",male dorms,are,15
"Because of the religious affiliation of the university, all residence halls are single-sex, with 15 male dorms and 14 female dorms",female dorms,are,14
"The university maintains a visiting policy (known as parietal hours) for those students who live in dormitories, specifying times when members of the opposite sex are allowed to visit other students' dorm rooms; however, all residence halls have 24-hour social spaces for students regardless of gender",the university,maintains,visiting policy
"The university maintains a visiting policy (known as parietal hours) for those students who live in dormitories, specifying times when members of the opposite sex are allowed to visit other students' dorm rooms; however, all residence halls have 24-hour social spaces for students regardless of gender",visiting policy,isKnownAs,parietal hours
"The university maintains a visiting policy (known as parietal hours) for those students who live in dormitories, specifying times when members of the opposite sex are allowed to visit other students' dorm rooms; however, all residence halls have 24-hour social spaces for students regardless of gender",students,liveIn,dormitories
"The university maintains a visiting policy (known as parietal hours) for those students who live in dormitories, specifying times when members of the opposite sex are allowed to visit other students' dorm rooms; however, all residence halls have 24-hour social spaces for students regardless of gender",members of the opposite sex,areAllowedToVisit,students' dorm rooms
"The university maintains a visiting policy (known as parietal hours) for those students who live in dormitories, specifying times when members of the opposite sex are allowed to visit other students' dorm rooms; however, all residence halls have 24-hour social spaces for students regardless of gender",residence halls,have,24-hour social spaces
"The university maintains a visiting policy (known as parietal hours) for those students who live in dormitories, specifying times when members of the opposite sex are allowed to visit other students' dorm rooms; however, all residence halls have 24-hour social spaces for students regardless of gender",students,regardlessOf,gender
Many residence halls have at least one nun and/or priest as a resident,Many residence halls,have,nun
Many residence halls have at least one nun and/or priest as a resident,Many residence halls,have,priest
"There are no traditional social fraternities or sororities at the university, but a majority of students live in the same residence hall for all four years",university,hasCharacteristic,no traditional social fraternities or sororities
"There are no traditional social fraternities or sororities at the university, but a majority of students live in the same residence hall for all four years",students,liveIn,residence hall
"Some intramural sports are based on residence hall teams, where the university offers the only non-military academy program of full-contact intramural American football",university,offers,non-military academy program
"Some intramural sports are based on residence hall teams, where the university offers the only non-military academy program of full-contact intramural American football",non-military academy program,of,full-contact intramural American football
"Some intramural sports are based on residence hall teams, where the university offers the only non-military academy program of full-contact intramural American football",full-contact intramural American football,is,intramural sports
"Some intramural sports are based on residence hall teams, where the university offers the only non-military academy program of full-contact intramural American football",intramural sports,are based on,residence hall teams
"At the end of the intramural season, the championship game is played on the field in Notre Dame Stadium.",Notre Dame Stadium,hosts,championship game
"The university is affiliated with the Congregation of Holy Cross (Latin: Congregatio a Sancta Cruce, abbreviated postnominals: ""CSC"")",The university,isAffiliatedWith,Congregation of Holy Cross
"The university is affiliated with the Congregation of Holy Cross (Latin: Congregatio a Sancta Cruce, abbreviated postnominals: ""CSC"")",Congregation of Holy Cross,hasAbbreviation,CSC
"While religious affiliation is not a criterion for admission, more than 93% of students identify as Christian, with over 80% of the total being Catholic",students,identifyAs,Christian
"While religious affiliation is not a criterion for admission, more than 93% of students identify as Christian, with over 80% of the total being Catholic",students,identifyAs,Catholic
"Collectively, Catholic Mass is celebrated over 100 times per week on campus, and a large campus ministry program provides for the faith needs of the community",Catholic Mass,isCelebratedAt,campus
"Collectively, Catholic Mass is celebrated over 100 times per week on campus, and a large campus ministry program provides for the faith needs of the community",campus ministry program,providesFor,faith needs
"Collectively, Catholic Mass is celebrated over 100 times per week on campus, and a large campus ministry program provides for the faith needs of the community",campus ministry program,isPartOf,community
"There are multitudes of religious statues and artwork around campus, most prominent of which are the statue of Mary on the Main Building, the Notre Dame Grotto, and the Word of Life mural on Hesburgh Library depicting Christ as a teacher",Mary,isLocatedAt,Main Building
"There are multitudes of religious statues and artwork around campus, most prominent of which are the statue of Mary on the Main Building, the Notre Dame Grotto, and the Word of Life mural on Hesburgh Library depicting Christ as a teacher",Notre Dame Grotto,isLocatedAt,campus
"There are multitudes of religious statues and artwork around campus, most prominent of which are the statue of Mary on the Main Building, the Notre Dame Grotto, and the Word of Life mural on Hesburgh Library depicting Christ as a teacher",Word of Life mural,isLocatedAt,Hesburgh Library
"There are multitudes of religious statues and artwork around campus, most prominent of which are the statue of Mary on the Main Building, the Notre Dame Grotto, and the Word of Life mural on Hesburgh Library depicting Christ as a teacher",Word of Life mural,depicts,Christ
"There are multitudes of religious statues and artwork around campus, most prominent of which are the statue of Mary on the Main Building, the Notre Dame Grotto, and the Word of Life mural on Hesburgh Library depicting Christ as a teacher",Christ,is,teacher
"Additionally, every classroom displays a crucifix",classroom,has,crucifix
"There are many religious clubs (catholic and non-Catholic) at the school, including Council #1477 of the Knights of Columbus (KOC), Baptist Collegiate Ministry (BCM), Jewish Club, Muslim Student Association, Orthodox Christian Fellowship, The Mormon Club, and many more",Council #1477 of the Knights of Columbus,isAt,school
"There are many religious clubs (catholic and non-Catholic) at the school, including Council #1477 of the Knights of Columbus (KOC), Baptist Collegiate Ministry (BCM), Jewish Club, Muslim Student Association, Orthodox Christian Fellowship, The Mormon Club, and many more",Knights of Columbus,hasCouncil,Council #1477 of the Knights of Columbus
"There are many religious clubs (catholic and non-Catholic) at the school, including Council #1477 of the Knights of Columbus (KOC), Baptist Collegiate Ministry (BCM), Jewish Club, Muslim Student Association, Orthodox Christian Fellowship, The Mormon Club, and many more",Baptist Collegiate Ministry,isAt,school
"There are many religious clubs (catholic and non-Catholic) at the school, including Council #1477 of the Knights of Columbus (KOC), Baptist Collegiate Ministry (BCM), Jewish Club, Muslim Student Association, Orthodox Christian Fellowship, The Mormon Club, and many more",Jewish Club,isAt,school
"There are many religious clubs (catholic and non-Catholic) at the school, including Council #1477 of the Knights of Columbus (KOC), Baptist Collegiate Ministry (BCM), Jewish Club, Muslim Student Association, Orthodox Christian Fellowship, The Mormon Club, and many more",Muslim Student Association,isAt,school
"There are many religious clubs (catholic and non-Catholic) at the school, including Council #1477 of the Knights of Columbus (KOC), Baptist Collegiate Ministry (BCM), Jewish Club, Muslim Student Association, Orthodox Christian Fellowship, The Mormon Club, and many more",Orthodox Christian Fellowship,isAt,school
"There are many religious clubs (catholic and non-Catholic) at the school, including Council #1477 of the Knights of Columbus (KOC), Baptist Collegiate Ministry (BCM), Jewish Club, Muslim Student Association, Orthodox Christian Fellowship, The Mormon Club, and many more",The Mormon Club,isAt,school
"The Notre Dame KofC are known for being the first collegiate council of KofC, operating a charitable concession stand during every home football game and owning their own building on campus which can be used as a cigar lounge",Notre Dame KofC,is,first collegiate council of KofC
"The Notre Dame KofC are known for being the first collegiate council of KofC, operating a charitable concession stand during every home football game and owning their own building on campus which can be used as a cigar lounge",Notre Dame KofC,operates,charitable concession stand
"The Notre Dame KofC are known for being the first collegiate council of KofC, operating a charitable concession stand during every home football game and owning their own building on campus which can be used as a cigar lounge",Notre Dame KofC,owns,building on campus
"The Notre Dame KofC are known for being the first collegiate council of KofC, operating a charitable concession stand during every home football game and owning their own building on campus which can be used as a cigar lounge",building on campus,can be used as,cigar lounge
Fifty-seven chapels are located throughout the campus.,chapels,located,campus
"This Main Building, and the library collection, was entirely destroyed by a fire in April 1879, and the school closed immediately and students were sent home",This Main Building,wasDestroyedBy,fire
"This Main Building, and the library collection, was entirely destroyed by a fire in April 1879, and the school closed immediately and students were sent home",This Main Building,wasPartOf,school
"This Main Building, and the library collection, was entirely destroyed by a fire in April 1879, and the school closed immediately and students were sent home",library collection,wasDestroyedBy,fire
"This Main Building, and the library collection, was entirely destroyed by a fire in April 1879, and the school closed immediately and students were sent home",school,had,students
"The university founder, Fr",The university founder,founded,The university
"The university founder, Fr",Fr,isTitleOf,The university founder
"Sorin and the president at the time, the Rev",Sorin,isWith,the president
"Sorin and the president at the time, the Rev",the president,hasTitle,Rev
"William Corby, immediately planned for the rebuilding of the structure that had housed virtually the entire University",William Corby,plannedFor,University
"William Corby, immediately planned for the rebuilding of the structure that had housed virtually the entire University",William Corby,plannedFor,rebuilding of the structure
Construction was started on the 17th of May and by the incredible zeal of administrator and workers the building was completed before the fall semester of 1879,construction,startedOn,17th of May
Construction was started on the 17th of May and by the incredible zeal of administrator and workers the building was completed before the fall semester of 1879,administrator,contributedTo,construction
Construction was started on the 17th of May and by the incredible zeal of administrator and workers the building was completed before the fall semester of 1879,workers,contributedTo,construction
Construction was started on the 17th of May and by the incredible zeal of administrator and workers the building was completed before the fall semester of 1879,construction,completedBefore,fall semester of 1879
The library collection was also rebuilt and stayed housed in the new Main Building for years afterwards,The library collection,wasRebuilt,the new Main Building
The library collection was also rebuilt and stayed housed in the new Main Building for years afterwards,the new Main Building,housed,The library collection
"Around the time of the fire, a music hall was opened",music hall,wasOpened,time of the fire
"Eventually becoming known as Washington Hall, it hosted plays and musical acts put on by the school",Washington Hall,knownAs,Washington Hall
"Eventually becoming known as Washington Hall, it hosted plays and musical acts put on by the school",school,hosts,plays
"Eventually becoming known as Washington Hall, it hosted plays and musical acts put on by the school",school,hosts,musical acts
"By 1880, a science program was established at the university, and a Science Hall (today LaFortune Student Center) was built in 1883",university,hasEstablished,science program
"By 1880, a science program was established at the university, and a Science Hall (today LaFortune Student Center) was built in 1883",Science Hall,wasBuilt,1883
"By 1880, a science program was established at the university, and a Science Hall (today LaFortune Student Center) was built in 1883",LaFortune Student Center,isFormerlyKnownAs,Science Hall
The hall housed multiple classrooms and science labs needed for early research at the university.,the hall,houses,classrooms
The hall housed multiple classrooms and science labs needed for early research at the university.,the hall,houses,science labs
The hall housed multiple classrooms and science labs needed for early research at the university.,science labs,areUsedFor,early research
The hall housed multiple classrooms and science labs needed for early research at the university.,early research,isConductedAt,the university
"In 1919 Father James Burns became president of Notre Dame, and in three years he produced an academic revolution that brought the school up to national standards by adopting the elective system and moving away from the university's traditional scholastic and classical emphasis",Father James Burns,becamePresidentOf,Notre Dame
"In 1919 Father James Burns became president of Notre Dame, and in three years he produced an academic revolution that brought the school up to national standards by adopting the elective system and moving away from the university's traditional scholastic and classical emphasis",Notre Dame,adopted,elective system
"In 1919 Father James Burns became president of Notre Dame, and in three years he produced an academic revolution that brought the school up to national standards by adopting the elective system and moving away from the university's traditional scholastic and classical emphasis",Notre Dame,movedAwayFrom,traditional scholastic and classical emphasis
"By contrast, the Jesuit colleges, bastions of academic conservatism, were reluctant to move to a system of electives",Jesuit colleges,wereReluctantTo,system of electives
