Sentence,Head,Relation,Tail
"All of the departments in the College of Science offer PhD programs, except for the Department of Pre-Professional Studies",Department of Pre-Professional Studies,part of,College of Science
"All of the departments in the College of Science offer PhD programs, except for the Department of Pre-Professional Studies",PhD,has part,Pre-Professional Studies
"All of the departments in the College of Science offer PhD programs, except for the Department of Pre-Professional Studies",Pre-Professional Studies,part of,PhD
"The School of Architecture offers a Master of Architecture, while each of the departments of the College of Engineering offer PhD programs",School,offers,Master
"The School of Architecture offers a Master of Architecture, while each of the departments of the College of Engineering offer PhD programs",Master of Architecture,field of this occupation,Architecture
"The School of Architecture offers a Master of Architecture, while each of the departments of the College of Engineering offer PhD programs",Architecture,practiced by,Master of Architecture
"The School of Architecture offers a Master of Architecture, while each of the departments of the College of Engineering offer PhD programs",Master of Architecture,field of work,Architecture
"The School of Architecture offers a Master of Architecture, while each of the departments of the College of Engineering offer PhD programs",Master of Architecture,part of,School of Architecture
"The School of Architecture offers a Master of Architecture, while each of the departments of the College of Engineering offer PhD programs",Master of Architecture,subclass of,PhD
The College of Business offers multiple professional programs including MBA and Master of Science in Accountancy programs,College,offers,programs
The College of Business offers multiple professional programs including MBA and Master of Science in Accountancy programs,MBA,instance of,professional programs
The College of Business offers multiple professional programs including MBA and Master of Science in Accountancy programs,Master of Science in Accountancy,instance of,professional programs
The College of Business offers multiple professional programs including MBA and Master of Science in Accountancy programs,MBA,subclass of,professional programs
It also operates facilities in Chicago and Cincinnati for its executive MBA program,It,operates,facilities
It also operates facilities in Chicago and Cincinnati for its executive MBA program,Chicago,twinned administrative body,Cincinnati
It also operates facilities in Chicago and Cincinnati for its executive MBA program,Cincinnati,twinned administrative body,Chicago
It also operates facilities in Chicago and Cincinnati for its executive MBA program,executive MBA,located in the administrative territorial entity,Chicago
It also operates facilities in Chicago and Cincinnati for its executive MBA program,executive MBA program,located in the administrative territorial entity,Chicago
It also operates facilities in Chicago and Cincinnati for its executive MBA program,executive MBA,headquarters location,Chicago
"Additionally, the Alliance for Catholic Education program offers a Master of Education program where students study at the university during the summer and teach in Catholic elementary schools, middle schools, and high schools across the Southern United States for two school years",Alliance,offers,program
"Additionally, the Alliance for Catholic Education program offers a Master of Education program where students study at the university during the summer and teach in Catholic elementary schools, middle schools, and high schools across the Southern United States for two school years",elementary schools,followed by,high schools
"Additionally, the Alliance for Catholic Education program offers a Master of Education program where students study at the university during the summer and teach in Catholic elementary schools, middle schools, and high schools across the Southern United States for two school years",Alliance for Catholic Education,field of work,Master of Education
"Additionally, the Alliance for Catholic Education program offers a Master of Education program where students study at the university during the summer and teach in Catholic elementary schools, middle schools, and high schools across the Southern United States for two school years",Southern,country,United States
"Additionally, the Alliance for Catholic Education program offers a Master of Education program where students study at the university during the summer and teach in Catholic elementary schools, middle schools, and high schools across the Southern United States for two school years",Alliance for Catholic Education,operating area,Southern United States
"Additionally, the Alliance for Catholic Education program offers a Master of Education program where students study at the university during the summer and teach in Catholic elementary schools, middle schools, and high schools across the Southern United States for two school years",Alliance for Catholic Education,instance of,Master of Education
The Joan B,The Joan B,has part,Joan B.
The Joan B,Joan B.,member of,The Joan B
The Joan B,The Joan B,has part,Joan B
The Joan B,Joan B,member of,The Joan B
The Joan B,Joan B.,part of,The Joan B
The Joan B,Joan B,has part,Joan B.
The Joan B,Joan B.,member of,Joan B
The Joan B,Joan B,part of,The Joan B
"Kroc Institute for International Peace Studies at the University of Notre Dame is dedicated to research, education and outreach on the causes of violent conflict and the conditions for sustainable peace",Institute,dedicated,to
"Kroc Institute for International Peace Studies at the University of Notre Dame is dedicated to research, education and outreach on the causes of violent conflict and the conditions for sustainable peace",Kroc Institute for International Peace Studies,part of,University of Notre Dame
"Kroc Institute for International Peace Studies at the University of Notre Dame is dedicated to research, education and outreach on the causes of violent conflict and the conditions for sustainable peace",University of Notre Dame,has part,Kroc Institute for International Peace Studies
"Kroc Institute for International Peace Studies at the University of Notre Dame is dedicated to research, education and outreach on the causes of violent conflict and the conditions for sustainable peace",Kroc Institute for International Peace Studies,parent organization,University of Notre Dame
"Kroc Institute for International Peace Studies at the University of Notre Dame is dedicated to research, education and outreach on the causes of violent conflict and the conditions for sustainable peace",University of Notre Dame,subsidiary,Kroc Institute for International Peace Studies
"It offers PhD, Master's, and undergraduate degrees in peace studies",It,offers,PhD
"It offers PhD, Master's, and undergraduate degrees in peace studies",PhD,instance of,degrees
"It offers PhD, Master's, and undergraduate degrees in peace studies",Master's,instance of,degrees
"It offers PhD, Master's, and undergraduate degrees in peace studies",undergraduate,subclass of,degrees
"It offers PhD, Master's, and undergraduate degrees in peace studies",undergraduate,instance of,degrees
It was founded in 1986 through the donations of Joan B,It,founded,in
It was founded in 1986 through the donations of Joan B,1986,point in time,1986
It was founded in 1986 through the donations of Joan B,Joan B,work period (start),1986
It was founded in 1986 through the donations of Joan B,Joan B.,work period (start),1986
It was founded in 1986 through the donations of Joan B,Joan B,inception,1986
"Kroc, the widow of McDonald's owner Ray Kroc",McDonald's,founded by,Ray Kroc
"Kroc, the widow of McDonald's owner Ray Kroc",Ray Kroc,employer,McDonald's
"Kroc, the widow of McDonald's owner Ray Kroc",McDonald's,owned by,Ray Kroc
"Kroc, the widow of McDonald's owner Ray Kroc",Ray Kroc,owner of,McDonald's
The institute was inspired by the vision of the Rev,Rev.,subclass of,Rev.
The institute was inspired by the vision of the Rev,Rev.,has part,Rev.
The institute was inspired by the vision of the Rev,Rev.,instance of,vision
The institute was inspired by the vision of the Rev,Rev.,facet of,Rev.
The institute was inspired by the vision of the Rev,Rev,facet of,Rev.
Theodore M,Theodore M.,child,Theodore M.
Theodore M,Theodore M.,father,Theodore M.
Theodore M,Theodore M.,sibling,Theodore M.
Theodore M,Theodore M,child,Theodore M.
Theodore M,Theodore M.,father,Theodore M
Theodore M,Theodore M,father,Theodore M.
Theodore M,Theodore M.,child,Theodore M
"Hesburgh CSC, President Emeritus of the University of Notre Dame",University of Notre Dame,member of,CSC
"Hesburgh CSC, President Emeritus of the University of Notre Dame",CSC,part of,University of Notre Dame
"Hesburgh CSC, President Emeritus of the University of Notre Dame",CSC,parent organization,University of Notre Dame
"Hesburgh CSC, President Emeritus of the University of Notre Dame",President Emeritus,part of,University of Notre Dame
"Hesburgh CSC, President Emeritus of the University of Notre Dame",CSC,conferred by,University of Notre Dame
The institute has contributed to international policy discussions about peace building practices,institute,contributed,to
The institute has contributed to international policy discussions about peace building practices,peace building,subclass of,international policy discussions
The institute has contributed to international policy discussions about peace building practices,peace building,subclass of,international policy
The institute has contributed to international policy discussions about peace building practices,peace building,facet of,international policy discussions
The institute has contributed to international policy discussions about peace building practices,peace building practices,subclass of,international policy discussions
The institute has contributed to international policy discussions about peace building practices,peace building practices,facet of,international policy discussions
The library system of the university is divided between the main library and each of the colleges and schools,system,divided,between
The library system of the university is divided between the main library and each of the colleges and schools,main library,part of,library system of the university
The library system of the university is divided between the main library and each of the colleges and schools,main library,instance of,library system
The library system of the university is divided between the main library and each of the colleges and schools,main library,instance of,library
The library system of the university is divided between the main library and each of the colleges and schools,main library,subclass of,library
The library system of the university is divided between the main library and each of the colleges and schools,main library,part of,library system
The main building is the 14-story Theodore M,building,is,M
The main building is the 14-story Theodore M,Theodore M.,instance of,main building
The main building is the 14-story Theodore M,Theodore M.,elevation above sea level,14
The main building is the 14-story Theodore M,Theodore M,instance of,main building
The main building is the 14-story Theodore M,Theodore M,elevation above sea level,14
The main building is the 14-story Theodore M,Theodore M.,area,14
"Hesburgh Library, completed in 1963, which is the third building to house the main collection of books",Hesburgh Library,inception,1963
"Hesburgh Library, completed in 1963, which is the third building to house the main collection of books",Hesburgh Library,date of official opening,1963
"Hesburgh Library, completed in 1963, which is the third building to house the main collection of books",Hesburgh Library,start time,1963
"Hesburgh Library, completed in 1963, which is the third building to house the main collection of books",Hesburgh Library,publication date,1963
"Hesburgh Library, completed in 1963, which is the third building to house the main collection of books",Hesburgh Library,service entry,1963
The front of the library is adorned with the Word of Life mural designed by artist Millard Sheets,front,adorned,with
The front of the library is adorned with the Word of Life mural designed by artist Millard Sheets,Word of Life mural,creator,Millard Sheets
The front of the library is adorned with the Word of Life mural designed by artist Millard Sheets,Millard Sheets,notable work,Word of Life mural
The front of the library is adorned with the Word of Life mural designed by artist Millard Sheets,Word of Life,creator,Millard Sheets
The front of the library is adorned with the Word of Life mural designed by artist Millard Sheets,Millard Sheets,notable work,Word of Life
"This mural is popularly known as ""Touchdown Jesus"" because of its proximity to Notre Dame Stadium and Jesus' arms appearing to make the signal for a touchdown",mural,known,as
"This mural is popularly known as ""Touchdown Jesus"" because of its proximity to Notre Dame Stadium and Jesus' arms appearing to make the signal for a touchdown",Touchdown Jesus,depicts,Notre Dame Stadium
"This mural is popularly known as ""Touchdown Jesus"" because of its proximity to Notre Dame Stadium and Jesus' arms appearing to make the signal for a touchdown",Notre Dame Stadium,uses,touchdown
"This mural is popularly known as ""Touchdown Jesus"" because of its proximity to Notre Dame Stadium and Jesus' arms appearing to make the signal for a touchdown",touchdown,used by,Notre Dame Stadium
"This mural is popularly known as ""Touchdown Jesus"" because of its proximity to Notre Dame Stadium and Jesus' arms appearing to make the signal for a touchdown",touchdown,location,Notre Dame Stadium
"This mural is popularly known as ""Touchdown Jesus"" because of its proximity to Notre Dame Stadium and Jesus' arms appearing to make the signal for a touchdown",Touchdown Jesus,location,Notre Dame Stadium
"Notre Dame is known for its competitive admissions, with the incoming class enrolling in fall 2015 admitting 3,577 from a pool of 18,156 (19",Dame,known,for
"Notre Dame is known for its competitive admissions, with the incoming class enrolling in fall 2015 admitting 3,577 from a pool of 18,156 (19",2015,point in time,2015
"Notre Dame is known for its competitive admissions, with the incoming class enrolling in fall 2015 admitting 3,577 from a pool of 18,156 (19",incoming class enrolling in fall 2015,point in time,2015
"Notre Dame is known for its competitive admissions, with the incoming class enrolling in fall 2015 admitting 3,577 from a pool of 18,156 (19",in fall 2015,point in time,2015
"Notre Dame is known for its competitive admissions, with the incoming class enrolling in fall 2015 admitting 3,577 from a pool of 18,156 (19",incoming class,point in time,2015
"Notre Dame is known for its competitive admissions, with the incoming class enrolling in fall 2015 admitting 3,577 from a pool of 18,156 (19",Notre Dame,population,"18,156"
7%),2008 Summer Olympics,point in time,2008
7%),2012 Summer Olympics,point in time,2012
7%),2012 Olympic Games,point in time,2012
7%),2007,point in time,2007
7%),2009,point in time,2009
The academic profile of the enrolled class continues to rate among the top 10 to 15 in the nation for national research universities,top 10 to 15,is a list of,national research universities
The academic profile of the enrolled class continues to rate among the top 10 to 15 in the nation for national research universities,national research universities,has part,top 10 to 15
The academic profile of the enrolled class continues to rate among the top 10 to 15 in the nation for national research universities,top 10 to 15 in the nation,is a list of,research universities
The academic profile of the enrolled class continues to rate among the top 10 to 15 in the nation for national research universities,top 10,is a list of,15
The academic profile of the enrolled class continues to rate among the top 10 to 15 in the nation for national research universities,15,said to be the same as,top 10
The academic profile of the enrolled class continues to rate among the top 10 to 15 in the nation for national research universities,15,different from,top 10
The university practices a non-restrictive early action policy that allows admitted students to consider admission to Notre Dame as well as any other colleges to which they were accepted,university,practices,policy
The university practices a non-restrictive early action policy that allows admitted students to consider admission to Notre Dame as well as any other colleges to which they were accepted,early action,subclass of,admission
The university practices a non-restrictive early action policy that allows admitted students to consider admission to Notre Dame as well as any other colleges to which they were accepted,Notre Dame,instance of,college
The university practices a non-restrictive early action policy that allows admitted students to consider admission to Notre Dame as well as any other colleges to which they were accepted,early action policy,facet of,Notre Dame
The university practices a non-restrictive early action policy that allows admitted students to consider admission to Notre Dame as well as any other colleges to which they were accepted,early action policy,part of,Notre Dame
The university practices a non-restrictive early action policy that allows admitted students to consider admission to Notre Dame as well as any other colleges to which they were accepted,early action,instance of,admission
"1,400 of the 3,577 (39","3,577",number of participants,39
"1,400 of the 3,577 (39","3,577",point in time,"3,577"
"1,400 of the 3,577 (39","3,577",population,39
"1,400 of the 3,577 (39","3,577",number of participants,"3,577"
1%) were admitted under the early action plan,%,admitted,under
1%) were admitted under the early action plan,early action plan,population,1
1%) were admitted under the early action plan,early action plan,number of participants,1
1%) were admitted under the early action plan,early action plan,area,1
1%) were admitted under the early action plan,early action plan,point in time,1
1%) were admitted under the early action plan,early action plan,event distance,1
"Admitted students came from 1,311 high schools and the average student traveled more than 750 miles to Notre Dame, making it arguably the most representative university in the United States",students,came,from
"Admitted students came from 1,311 high schools and the average student traveled more than 750 miles to Notre Dame, making it arguably the most representative university in the United States",Notre Dame,country,United States
"Admitted students came from 1,311 high schools and the average student traveled more than 750 miles to Notre Dame, making it arguably the most representative university in the United States",most representative university,country,United States
"Admitted students came from 1,311 high schools and the average student traveled more than 750 miles to Notre Dame, making it arguably the most representative university in the United States",Notre Dame,instance of,university
"Admitted students came from 1,311 high schools and the average student traveled more than 750 miles to Notre Dame, making it arguably the most representative university in the United States",high schools,country,United States
"Admitted students came from 1,311 high schools and the average student traveled more than 750 miles to Notre Dame, making it arguably the most representative university in the United States",University of Notre Dame,country,United States
"While all entering students begin in the College of the First Year of Studies, 25% have indicated they plan to study in the liberal arts or social sciences, 24% in engineering, 24% in business, 24% in science, and 3% in architecture",liberal arts,subclass of,social sciences
"While all entering students begin in the College of the First Year of Studies, 25% have indicated they plan to study in the liberal arts or social sciences, 24% in engineering, 24% in business, 24% in science, and 3% in architecture",social sciences,has part has part,liberal arts science
"While all entering students begin in the College of the First Year of Studies, 25% have indicated they plan to study in the liberal arts or social sciences, 24% in engineering, 24% in business, 24% in science, and 3% in architecture",science,part of,social sciences
"While all entering students begin in the College of the First Year of Studies, 25% have indicated they plan to study in the liberal arts or social sciences, 24% in engineering, 24% in business, 24% in science, and 3% in architecture",liberal arts,instance of,social sciences
"While all entering students begin in the College of the First Year of Studies, 25% have indicated they plan to study in the liberal arts or social sciences, 24% in engineering, 24% in business, 24% in science, and 3% in architecture",social sciences,has part,liberal arts
"While all entering students begin in the College of the First Year of Studies, 25% have indicated they plan to study in the liberal arts or social sciences, 24% in engineering, 24% in business, 24% in science, and 3% in architecture",social sciences,subclass of,science
"While all entering students begin in the College of the First Year of Studies, 25% have indicated they plan to study in the liberal arts or social sciences, 24% in engineering, 24% in business, 24% in science, and 3% in architecture",engineering,subclass of,science
"While all entering students begin in the College of the First Year of Studies, 25% have indicated they plan to study in the liberal arts or social sciences, 24% in engineering, 24% in business, 24% in science, and 3% in architecture",science,has part,social sciences
"While all entering students begin in the College of the First Year of Studies, 25% have indicated they plan to study in the liberal arts or social sciences, 24% in engineering, 24% in business, 24% in science, and 3% in architecture",science,subclass of,social sciences
"In 2015-2016, Notre Dame ranked 18th overall among ""national universities"" in the United States in U",Dame,ranked,18th
"In 2015-2016, Notre Dame ranked 18th overall among ""national universities"" in the United States in U",national universities,country,United States
"In 2015-2016, Notre Dame ranked 18th overall among ""national universities"" in the United States in U","Notre Dame ranked 18th overall among ""national universities"" in the United States",point in time,2015-2016
"In 2015-2016, Notre Dame ranked 18th overall among ""national universities"" in the United States in U","Notre Dame ranked 18th overall among ""national universities"" in the United States in U",point in time,2015-2016
"In 2015-2016, Notre Dame ranked 18th overall among ""national universities"" in the United States in U","Notre Dame ranked 18th overall among ""national universities"" in the United States",point in time,2015
"In 2015-2016, Notre Dame ranked 18th overall among ""national universities"" in the United States in U",Notre Dame,member of,national universities
"In 2015-2016, Notre Dame ranked 18th overall among ""national universities"" in the United States in U",national universities,has part,Notre Dame
News & World Report's Best Colleges 2016,U.S. News & World Report's Best Colleges 2016,point in time,2016
News & World Report's Best Colleges 2016,Best Colleges 2016,conferred by,U.S. News & World Report
News & World Report's Best Colleges 2016,News & World Report's Best Colleges 2016,point in time,2016
News & World Report's Best Colleges 2016,Best Colleges 2016,publisher,U.S. News & World Report
News & World Report's Best Colleges 2016,Best Colleges 2016,conferred by,U.S. News & World Report's
"In 2014, USA Today ranked Notre Dame 10th overall for American universities based on data from College Factual",Today,ranked,Dame
"In 2014, USA Today ranked Notre Dame 10th overall for American universities based on data from College Factual",College Factual,publisher,USA Today
"In 2014, USA Today ranked Notre Dame 10th overall for American universities based on data from College Factual",USA Today,owner of,College Factual
"In 2014, USA Today ranked Notre Dame 10th overall for American universities based on data from College Factual",College Factual,owned by,USA Today
"In 2014, USA Today ranked Notre Dame 10th overall for American universities based on data from College Factual",USA Today,has part,College Factual
"In 2014, USA Today ranked Notre Dame 10th overall for American universities based on data from College Factual",College Factual,part of,USA Today
Forbes,Forbes,owner of,Forbes Money
Forbes,Forbes,has part,Forbes Money
Forbes,Forbes,field of work,money
Forbes,Forbes,owner of,Forbes.com
Forbes,Forbes,field of work,Money
"com's America's Best Colleges ranks Notre Dame 13th among colleges in the United States in 2015, 8th among Research Universities, and 1st in the Midwest",Colleges,ranks,13th
"com's America's Best Colleges ranks Notre Dame 13th among colleges in the United States in 2015, 8th among Research Universities, and 1st in the Midwest",America's Best Colleges,has part,University of Notre Dame
"com's America's Best Colleges ranks Notre Dame 13th among colleges in the United States in 2015, 8th among Research Universities, and 1st in the Midwest",University of Notre Dame,member of,America's Best Colleges
"com's America's Best Colleges ranks Notre Dame 13th among colleges in the United States in 2015, 8th among Research Universities, and 1st in the Midwest",America's Best Colleges,country,United States
"com's America's Best Colleges ranks Notre Dame 13th among colleges in the United States in 2015, 8th among Research Universities, and 1st in the Midwest",Midwest,country,United States
"com's America's Best Colleges ranks Notre Dame 13th among colleges in the United States in 2015, 8th among Research Universities, and 1st in the Midwest",America's Best Colleges,conferred by,CollegeInsider.com
"com's America's Best Colleges ranks Notre Dame 13th among colleges in the United States in 2015, 8th among Research Universities, and 1st in the Midwest",Midwest,located in the administrative territorial entity,United States
U,U,has part,UV
U,UV,part of,U
U,U,different from,UV
U,UV,different from,U
U,U,located in the administrative territorial entity,U
U,U,contains administrative territorial entity,U
U,U,has part,U
U,U,part of,U
News & World Report also lists Notre Dame Law School as 22nd overall,News,lists,School
News & World Report also lists Notre Dame Law School as 22nd overall,Notre Dame Law School,ranking,22
News & World Report also lists Notre Dame Law School as 22nd overall,Notre Dame Law School,ranking,22nd overall
News & World Report also lists Notre Dame Law School as 22nd overall,Law School,part of,Notre Dame
News & World Report also lists Notre Dame Law School as 22nd overall,22nd overall,publisher,News & World Report
News & World Report also lists Notre Dame Law School as 22nd overall,Notre Dame Law School,ranked by,22nd overall
BusinessWeek ranks Mendoza College of Business undergraduate school as 1st overall,BusinessWeek,ranks,school
BusinessWeek ranks Mendoza College of Business undergraduate school as 1st overall,Mendoza College of Business,instance of,undergraduate school
BusinessWeek ranks Mendoza College of Business undergraduate school as 1st overall,BusinessWeek,has part,1st overall
BusinessWeek ranks Mendoza College of Business undergraduate school as 1st overall,1st overall,publisher,BusinessWeek
BusinessWeek ranks Mendoza College of Business undergraduate school as 1st overall,1st overall,part of,BusinessWeek
BusinessWeek ranks Mendoza College of Business undergraduate school as 1st overall,BusinessWeek,has part,Mendoza College of Business
BusinessWeek ranks Mendoza College of Business undergraduate school as 1st overall,Mendoza College of Business,conferred by,BusinessWeek
It ranks the MBA program as 20th overall,It,ranks,program
It ranks the MBA program as 20th overall,20th overall,is a list of,MBA program
It ranks the MBA program as 20th overall,20th overall,is a list of,MBA
It ranks the MBA program as 20th overall,MBA,instance of,program
It ranks the MBA program as 20th overall,MBA,subclass of,program
It ranks the MBA program as 20th overall,MBA program,number of participants,20
"The Philosophical Gourmet Report ranks Notre Dame's graduate philosophy program as 15th nationally, while ARCHITECT Magazine ranked the undergraduate architecture program as 12th nationally",Report,ranks,program
"The Philosophical Gourmet Report ranks Notre Dame's graduate philosophy program as 15th nationally, while ARCHITECT Magazine ranked the undergraduate architecture program as 12th nationally",architecture program,part of,Notre Dame
"The Philosophical Gourmet Report ranks Notre Dame's graduate philosophy program as 15th nationally, while ARCHITECT Magazine ranked the undergraduate architecture program as 12th nationally",philosophy program,part of,Notre Dame
"The Philosophical Gourmet Report ranks Notre Dame's graduate philosophy program as 15th nationally, while ARCHITECT Magazine ranked the undergraduate architecture program as 12th nationally",architecture program,part of,philosophy program
"The Philosophical Gourmet Report ranks Notre Dame's graduate philosophy program as 15th nationally, while ARCHITECT Magazine ranked the undergraduate architecture program as 12th nationally",architecture,part of,philosophy
"The Philosophical Gourmet Report ranks Notre Dame's graduate philosophy program as 15th nationally, while ARCHITECT Magazine ranked the undergraduate architecture program as 12th nationally",architecture program,has part,philosophy program
"Additionally, the study abroad program ranks sixth in highest participation percentage in the nation, with 57",program,ranks,in
"Additionally, the study abroad program ranks sixth in highest participation percentage in the nation, with 57",highest participation percentage in the nation,is a list of,study abroad program
"Additionally, the study abroad program ranks sixth in highest participation percentage in the nation, with 57",highest participation percentage in the nation,is a list of,study abroad
"Additionally, the study abroad program ranks sixth in highest participation percentage in the nation, with 57",highest participation percentage in the nation,facet of,study abroad program
"Additionally, the study abroad program ranks sixth in highest participation percentage in the nation, with 57",participation percentage,facet of,study abroad program
"Additionally, the study abroad program ranks sixth in highest participation percentage in the nation, with 57",participation percentage in the nation,facet of,study abroad program
6% of students choosing to study abroad in 17 countries,17 countries,subclass of,study abroad
6% of students choosing to study abroad in 17 countries,study abroad,has part,17 countries
6% of students choosing to study abroad in 17 countries,17 countries,part of,study abroad
6% of students choosing to study abroad in 17 countries,study abroad,country,17 countries
6% of students choosing to study abroad in 17 countries,study abroad in 17 countries,number of participants,17
According to payscale,payscale,instance of,payscale
According to payscale,payscale,facet of,payscale
According to payscale,payscale,main subject,payscale
According to payscale,payscale,uses,payscale
According to payscale,payscale,use,payscale
"com, undergraduate alumni of University of Notre Dame have a mid-career median salary $110,000, making it the 24th highest among colleges and universities in the United States",com,have,salary
"com, undergraduate alumni of University of Notre Dame have a mid-career median salary $110,000, making it the 24th highest among colleges and universities in the United States",University of Notre Dame,instance of,colleges and universities in the United States
"com, undergraduate alumni of University of Notre Dame have a mid-career median salary $110,000, making it the 24th highest among colleges and universities in the United States",University of Notre Dame,instance of,24th highest among colleges and universities in the United States
"com, undergraduate alumni of University of Notre Dame have a mid-career median salary $110,000, making it the 24th highest among colleges and universities in the United States",24th highest among colleges and universities in the United States,is a list of,University of Notre Dame
"com, undergraduate alumni of University of Notre Dame have a mid-career median salary $110,000, making it the 24th highest among colleges and universities in the United States",University of Notre Dame,ranking,24th highest among colleges and universities in the United States
"The median starting salary of $55,300 ranked 58th in the same peer group",median starting salary,part of,58th in the same peer group
"The median starting salary of $55,300 ranked 58th in the same peer group",58th in the same peer group,has part,median starting salary
"The median starting salary of $55,300 ranked 58th in the same peer group","$55,300",instance of,median starting salary
"The median starting salary of $55,300 ranked 58th in the same peer group",median starting salary,instance of,58th in the same peer group
"The median starting salary of $55,300 ranked 58th in the same peer group","$55,300",instance of,58th in the same peer group
"Father Joseph Carrier, C",Joseph Carrier,religious order,C
"Father Joseph Carrier, C",Joseph Carrier,religious order,C.
"Father Joseph Carrier, C",Joseph Carrier,religion,C
"Father Joseph Carrier, C",Joseph Carrier,position held,C
"Father Joseph Carrier, C",Joseph Carrier,occupation,Father
C,C,has part,C
C,CERN,country,Switzerland
C,C,writing system,C
C,C,part of,C
C,C,instance of,C
was Director of the Science Museum and the Library and Professor of Chemistry and Physics until 1874,Chemistry,has part,Physics
was Director of the Science Museum and the Library and Professor of Chemistry and Physics until 1874,Physics,part of,Chemistry
was Director of the Science Museum and the Library and Professor of Chemistry and Physics until 1874,Physics,has part,Chemistry
was Director of the Science Museum and the Library and Professor of Chemistry and Physics until 1874,Science Museum,has part,Library
was Director of the Science Museum and the Library and Professor of Chemistry and Physics until 1874,Library,part of,Science Museum
Carrier taught that scientific research and its promise for progress were not antagonistic to the ideals of intellectual and moral culture endorsed by the Church,scientific research,said to be the same as,promise for progress
Carrier taught that scientific research and its promise for progress were not antagonistic to the ideals of intellectual and moral culture endorsed by the Church,promise for progress,said to be the same as,scientific research
Carrier taught that scientific research and its promise for progress were not antagonistic to the ideals of intellectual and moral culture endorsed by the Church,scientific research,has part,promise for progress
Carrier taught that scientific research and its promise for progress were not antagonistic to the ideals of intellectual and moral culture endorsed by the Church,promise for progress,part of,scientific research
Carrier taught that scientific research and its promise for progress were not antagonistic to the ideals of intellectual and moral culture endorsed by the Church,promise for progress,subclass of,scientific research
Carrier taught that scientific research and its promise for progress were not antagonistic to the ideals of intellectual and moral culture endorsed by the Church,scientific research,has effect,promise for progress
Carrier taught that scientific research and its promise for progress were not antagonistic to the ideals of intellectual and moral culture endorsed by the Church,promise for progress,has cause,scientific research
One of Carrier's students was Father John Augustine Zahm (1851–1921) who was made Professor and Co-Director of the Science Department at age 23 and by 1900 was a nationally prominent scientist and naturalist,One,was,Zahm
One of Carrier's students was Father John Augustine Zahm (1851–1921) who was made Professor and Co-Director of the Science Department at age 23 and by 1900 was a nationally prominent scientist and naturalist,John Augustine Zahm,work period (start),1900
One of Carrier's students was Father John Augustine Zahm (1851–1921) who was made Professor and Co-Director of the Science Department at age 23 and by 1900 was a nationally prominent scientist and naturalist,John Augustine Zahm,occupation,Father
One of Carrier's students was Father John Augustine Zahm (1851–1921) who was made Professor and Co-Director of the Science Department at age 23 and by 1900 was a nationally prominent scientist and naturalist,John Augustine Zahm,field of work,naturalist
One of Carrier's students was Father John Augustine Zahm (1851–1921) who was made Professor and Co-Director of the Science Department at age 23 and by 1900 was a nationally prominent scientist and naturalist,John Augustine Zahm,date of death,1900
One of Carrier's students was Father John Augustine Zahm (1851–1921) who was made Professor and Co-Director of the Science Department at age 23 and by 1900 was a nationally prominent scientist and naturalist,John Augustine Zahm,father,Father John Augustine Zahm
"Zahm was active in the Catholic Summer School movement, which introduced Catholic laity to contemporary intellectual issues",Zahm,was,in
"Zahm was active in the Catholic Summer School movement, which introduced Catholic laity to contemporary intellectual issues",Catholic Summer School,movement,Catholic laity
"Zahm was active in the Catholic Summer School movement, which introduced Catholic laity to contemporary intellectual issues",Catholic Summer School,facet of,Catholic laity
"Zahm was active in the Catholic Summer School movement, which introduced Catholic laity to contemporary intellectual issues",Catholic Summer School,field of work,Catholic laity
"Zahm was active in the Catholic Summer School movement, which introduced Catholic laity to contemporary intellectual issues",Catholic laity,religion,Catholic
"Zahm was active in the Catholic Summer School movement, which introduced Catholic laity to contemporary intellectual issues",laity,religion,Catholic
"His book Evolution and Dogma (1896) defended certain aspects of evolutionary theory as true, and argued, moreover, that even the great Church teachers Thomas Aquinas and Augustine taught something like it",book,defended,aspects
"His book Evolution and Dogma (1896) defended certain aspects of evolutionary theory as true, and argued, moreover, that even the great Church teachers Thomas Aquinas and Augustine taught something like it",Evolution and Dogma,main subject,evolutionary theory
"His book Evolution and Dogma (1896) defended certain aspects of evolutionary theory as true, and argued, moreover, that even the great Church teachers Thomas Aquinas and Augustine taught something like it",Thomas Aquinas,student,Augustine
"His book Evolution and Dogma (1896) defended certain aspects of evolutionary theory as true, and argued, moreover, that even the great Church teachers Thomas Aquinas and Augustine taught something like it",Augustine,student of,Thomas Aquinas
"His book Evolution and Dogma (1896) defended certain aspects of evolutionary theory as true, and argued, moreover, that even the great Church teachers Thomas Aquinas and Augustine taught something like it",Augustine,influenced by,Thomas Aquinas
The intervention of Irish American Catholics in Rome prevented Zahm's censure by the Vatican,intervention,prevented,censure
The intervention of Irish American Catholics in Rome prevented Zahm's censure by the Vatican,Rome,owned by,Vatican
The intervention of Irish American Catholics in Rome prevented Zahm's censure by the Vatican,Vatican,capital,Rome
The intervention of Irish American Catholics in Rome prevented Zahm's censure by the Vatican,Rome,capital of,Vatican
The intervention of Irish American Catholics in Rome prevented Zahm's censure by the Vatican,Vatican,owner of,Rome
The intervention of Irish American Catholics in Rome prevented Zahm's censure by the Vatican,Rome,authority,Vatican
"In 1913, Zahm and former President Theodore Roosevelt embarked on a major expedition through the Amazon",Zahm,embarked,on
