Sentence,Head,Relation,Tail
"Around 1899, Professor Jerome Green became the first American to send a wireless message",Jerome Green,hasAward,first American
"In 1931, Father Julius Nieuwland performed early work on basic reactions that was used to create neoprene",Father Julius Nieuwland,performed,early work
"In 1931, Father Julius Nieuwland performed early work on basic reactions that was used to create neoprene",early work,on,basic reactions
"In 1931, Father Julius Nieuwland performed early work on basic reactions that was used to create neoprene",basic reactions,used,create neoprene
"In 1931, Father Julius Nieuwland performed early work on basic reactions that was used to create neoprene",create neoprene,partOf,1931
"Study of nuclear physics at the university began with the building of a nuclear accelerator in 1936, and continues now partly through a partnership in the Joint Institute for Nuclear Astrophysics.",university,locatedIn,
"Study of nuclear physics at the university began with the building of a nuclear accelerator in 1936, and continues now partly through a partnership in the Joint Institute for Nuclear Astrophysics.",nuclear accelerator,partOf,university
"Study of nuclear physics at the university began with the building of a nuclear accelerator in 1936, and continues now partly through a partnership in the Joint Institute for Nuclear Astrophysics.",Joint Institute for Nuclear Astrophysics,partOf,university
"Study of nuclear physics at the university began with the building of a nuclear accelerator in 1936, and continues now partly through a partnership in the Joint Institute for Nuclear Astrophysics.",1936,occured,building of a nuclear accelerator
The Lobund Institute grew out of pioneering research in germ-free-life which began in 1928,The Lobund Institute,partOf,pioneering research in germ-free-life
The Lobund Institute grew out of pioneering research in germ-free-life which began in 1928,pioneering research in germ-free-life,occured,1928
This area of research originated in a question posed by Pasteur as to whether animal life was possible without bacteria,Pasteur,posed,question
"Though others had taken up this idea, their research was short lived and inconclusive",others,partOf,research
"Lobund was the first research organization to answer definitively, that such life is possible and that it can be prolonged through generations",Lobund,is,research organization
But the objective was not merely to answer Pasteur's question but also to produce the germ free animal as a new tool for biological and medical research,Pasteur,partOf,biological and medical research
This objective was reached and for years Lobund was a unique center for the study and production of germ free animals and for their use in biological and medical investigations,Lobund,isLocatedIn,center
This objective was reached and for years Lobund was a unique center for the study and production of germ free animals and for their use in biological and medical investigations,Lobund,hasProject,study and production of germ free animals
This objective was reached and for years Lobund was a unique center for the study and production of germ free animals and for their use in biological and medical investigations,Lobund,hasProject,biological and medical investigations
Today the work has spread to other universities,Today,partOf,work
In the beginning it was under the Department of Biology and a program leading to the master's degree accompanied the research program,Department of Biology,partOf,
In the beginning it was under the Department of Biology and a program leading to the master's degree accompanied the research program,master's degree,accompany,research program
In the 1940s Lobund achieved independent status as a purely research organization and in 1950 was raised to the status of an Institute,Lobund,partOf,Institute
"In 1958 it was brought back into the Department of Biology as integral part of that department, but with its own program leading to the degree of PhD in Gnotobiotics.",Department of Biology,partOf,Gnotobiotics
"In 1958 it was brought back into the Department of Biology as integral part of that department, but with its own program leading to the degree of PhD in Gnotobiotics.",Gnotobiotics,leading to,PhD
"The Review of Politics was founded in 1939 by Gurian, modeled after German Catholic journals",The Review of Politics,wasFoundedBy,Gurian
"The Review of Politics was founded in 1939 by Gurian, modeled after German Catholic journals",The Review of Politics,partOf,1939
"For 44 years, the Review was edited by Gurian, Matthew Fitzsimons, Frederick Crosson, and Thomas Stritch",Gurian,edited,the Review
"For 44 years, the Review was edited by Gurian, Matthew Fitzsimons, Frederick Crosson, and Thomas Stritch",Matthew Fitzsimons,edited,the Review
"For 44 years, the Review was edited by Gurian, Matthew Fitzsimons, Frederick Crosson, and Thomas Stritch",Frederick Crosson,edited,the Review
"For 44 years, the Review was edited by Gurian, Matthew Fitzsimons, Frederick Crosson, and Thomas Stritch",Thomas Stritch,edited,the Review
"Intellectual leaders included Gurian, Jacques Maritain, Frank O'Malley, Leo Richard Ward, F",Gurian,,
"Intellectual leaders included Gurian, Jacques Maritain, Frank O'Malley, Leo Richard Ward, F",Jacques Maritain,,
"Intellectual leaders included Gurian, Jacques Maritain, Frank O'Malley, Leo Richard Ward, F",Frank O'Malley,,
"Intellectual leaders included Gurian, Jacques Maritain, Frank O'Malley, Leo Richard Ward, F",Leo Richard Ward,,
"Intellectual leaders included Gurian, Jacques Maritain, Frank O'Malley, Leo Richard Ward, F",F,,
"Hermens, and John U",Hermens,,
"Hermens, and John U",John U,,
"It became a major forum for political ideas and modern political concerns, especially from a Catholic and scholastic tradition.",forum,hasCharacteristic,Catholic
"It became a major forum for political ideas and modern political concerns, especially from a Catholic and scholastic tradition.",forum,hasCharacteristic,scholastic
As of 2012[update] research continued in many fields,2012,occured,research
"The university president, John Jenkins, described his hope that Notre Dame would become ""one of the pre–eminent research institutions in the world"" in his inaugural address",John Jenkins,isFounderOf,Notre Dame
"The university president, John Jenkins, described his hope that Notre Dame would become ""one of the pre–eminent research institutions in the world"" in his inaugural address",Notre Dame,locatedIn,world
"The university has many multi-disciplinary institutes devoted to research in varying fields, including the Medieval Institute, the Kellogg Institute for International Studies, the Kroc Institute for International Peace studies, and the Center for Social Concerns",The university,hasProject,Medieval Institute
"The university has many multi-disciplinary institutes devoted to research in varying fields, including the Medieval Institute, the Kellogg Institute for International Studies, the Kroc Institute for International Peace studies, and the Center for Social Concerns",The university,hasProject,Kellogg Institute for International Studies
"The university has many multi-disciplinary institutes devoted to research in varying fields, including the Medieval Institute, the Kellogg Institute for International Studies, the Kroc Institute for International Peace studies, and the Center for Social Concerns",The university,hasProject,Kroc Institute for International Peace studies
"The university has many multi-disciplinary institutes devoted to research in varying fields, including the Medieval Institute, the Kellogg Institute for International Studies, the Kroc Institute for International Peace studies, and the Center for Social Concerns",The university,hasProject,Center for Social Concerns
"Recent research includes work on family conflict and child development, genome mapping, the increasing trade deficit of the United States with China, studies in fluid mechanics, computational science and engineering, and marketing trends on the Internet",United States,hasTradeDeficit,China
"Recent research includes work on family conflict and child development, genome mapping, the increasing trade deficit of the United States with China, studies in fluid mechanics, computational science and engineering, and marketing trends on the Internet",United States,hasTradeDeficit,trade deficit
"Recent research includes work on family conflict and child development, genome mapping, the increasing trade deficit of the United States with China, studies in fluid mechanics, computational science and engineering, and marketing trends on the Internet",research,partOf,family conflict and child development
"Recent research includes work on family conflict and child development, genome mapping, the increasing trade deficit of the United States with China, studies in fluid mechanics, computational science and engineering, and marketing trends on the Internet",research,partOf,genome mapping
"Recent research includes work on family conflict and child development, genome mapping, the increasing trade deficit of the United States with China, studies in fluid mechanics, computational science and engineering, and marketing trends on the Internet",research,partOf,studies in fluid mechanics
"Recent research includes work on family conflict and child development, genome mapping, the increasing trade deficit of the United States with China, studies in fluid mechanics, computational science and engineering, and marketing trends on the Internet",research,partOf,computational science and engineering
"Recent research includes work on family conflict and child development, genome mapping, the increasing trade deficit of the United States with China, studies in fluid mechanics, computational science and engineering, and marketing trends on the Internet",research,partOf,marketing trends on the Internet
"As of 2013, the university is home to the Notre Dame Global Adaptation Index which ranks countries annually based on how vulnerable they are to climate change and how prepared they are to adapt.",Notre Dame Global Adaptation Index,locatedIn,the university
"As of 2013, the university is home to the Notre Dame Global Adaptation Index which ranks countries annually based on how vulnerable they are to climate change and how prepared they are to adapt.",the university,hasProject,Notre Dame Global Adaptation Index
"In 2014 the Notre Dame student body consisted of 12,179 students, with 8,448 undergraduates, 2,138 graduate and professional and 1,593 professional (Law, M.Div., Business, M.Ed.) students",Notre Dame,has,"12,179 students"
"In 2014 the Notre Dame student body consisted of 12,179 students, with 8,448 undergraduates, 2,138 graduate and professional and 1,593 professional (Law, M.Div., Business, M.Ed.) students",Notre Dame,has,"8,448 undergraduates"
"In 2014 the Notre Dame student body consisted of 12,179 students, with 8,448 undergraduates, 2,138 graduate and professional and 1,593 professional (Law, M.Div., Business, M.Ed.) students",Notre Dame,has,"2,138 graduate and professional"
"In 2014 the Notre Dame student body consisted of 12,179 students, with 8,448 undergraduates, 2,138 graduate and professional and 1,593 professional (Law, M.Div., Business, M.Ed.) students",Notre Dame,has,"1,593 professional"
"Around 21–24% of students are children of alumni, and although 37% of students come from the Midwestern United States, the student body represents all 50 states and 100 countries",students,alumniOf,alumni
"Around 21–24% of students are children of alumni, and although 37% of students come from the Midwestern United States, the student body represents all 50 states and 100 countries",students,locatedIn,Midwestern United States
"Around 21–24% of students are children of alumni, and although 37% of students come from the Midwestern United States, the student body represents all 50 states and 100 countries",students,locatedIn,United States
"Around 21–24% of students are children of alumni, and although 37% of students come from the Midwestern United States, the student body represents all 50 states and 100 countries",students,partOf,student body
As of March 2007[update] The Princeton Review ranked the school as the fifth highest 'dream school' for parents to send their children,The Princeton Review,ranked,school
As of March 2007[update] The Princeton Review ranked the school as the fifth highest 'dream school' for parents to send their children,school,is,dream school
As of March 2015[update] The Princeton Review ranked Notre Dame as the ninth highest,Notre Dame,ranked,ninth highest
As of March 2015[update] The Princeton Review ranked Notre Dame as the ninth highest,The Princeton Review,ranked,Notre Dame
"The school has been previously criticized for its lack of diversity, and The Princeton Review ranks the university highly among schools at which ""Alternative Lifestyles [are] Not an Alternative."" It has also been commended by some diversity oriented publications; Hispanic Magazine in 2004 ranked the university ninth on its list of the top–25 colleges for Latinos, and The Journal of Blacks in Higher Education recognized the university in 2006 for raising enrollment of African-American students",The school,locatedIn,
"The school has been previously criticized for its lack of diversity, and The Princeton Review ranks the university highly among schools at which ""Alternative Lifestyles [are] Not an Alternative."" It has also been commended by some diversity oriented publications; Hispanic Magazine in 2004 ranked the university ninth on its list of the top–25 colleges for Latinos, and The Journal of Blacks in Higher Education recognized the university in 2006 for raising enrollment of African-American students",The Princeton Review,published,rank
"The school has been previously criticized for its lack of diversity, and The Princeton Review ranks the university highly among schools at which ""Alternative Lifestyles [are] Not an Alternative."" It has also been commended by some diversity oriented publications; Hispanic Magazine in 2004 ranked the university ninth on its list of the top–25 colleges for Latinos, and The Journal of Blacks in Higher Education recognized the university in 2006 for raising enrollment of African-American students",Hispanic Magazine,published,list of the top–25 colleges for Latinos
"The school has been previously criticized for its lack of diversity, and The Princeton Review ranks the university highly among schools at which ""Alternative Lifestyles [are] Not an Alternative."" It has also been commended by some diversity oriented publications; Hispanic Magazine in 2004 ranked the university ninth on its list of the top–25 colleges for Latinos, and The Journal of Blacks in Higher Education recognized the university in 2006 for raising enrollment of African-American students",The Journal of Blacks in Higher Education,published,raising enrollment of African-American students
"The school has been previously criticized for its lack of diversity, and The Princeton Review ranks the university highly among schools at which ""Alternative Lifestyles [are] Not an Alternative."" It has also been commended by some diversity oriented publications; Hispanic Magazine in 2004 ranked the university ninth on its list of the top–25 colleges for Latinos, and The Journal of Blacks in Higher Education recognized the university in 2006 for raising enrollment of African-American students",The school,hasAward,raising enrollment of African-American students
"The school has been previously criticized for its lack of diversity, and The Princeton Review ranks the university highly among schools at which ""Alternative Lifestyles [are] Not an Alternative."" It has also been commended by some diversity oriented publications; Hispanic Magazine in 2004 ranked the university ninth on its list of the top–25 colleges for Latinos, and The Journal of Blacks in Higher Education recognized the university in 2006 for raising enrollment of African-American students",The school,hasAward,list of the top–25 colleges for Latinos
"With 6,000 participants, the university's intramural sports program was named in 2004 by Sports Illustrated as the best program in the country, while in 2007 The Princeton Review named it as the top school where ""Everyone Plays Intramural Sports."" The annual Bookstore Basketball tournament is the largest outdoor five-on-five tournament in the world with over 700 teams participating each year, while the Notre Dame Men's Boxing Club hosts the annual Bengal Bouts tournament that raises money for the Holy Cross Missions in Bangladesh.",university's intramural sports program,locatedIn,country
"With 6,000 participants, the university's intramural sports program was named in 2004 by Sports Illustrated as the best program in the country, while in 2007 The Princeton Review named it as the top school where ""Everyone Plays Intramural Sports."" The annual Bookstore Basketball tournament is the largest outdoor five-on-five tournament in the world with over 700 teams participating each year, while the Notre Dame Men's Boxing Club hosts the annual Bengal Bouts tournament that raises money for the Holy Cross Missions in Bangladesh.",university's intramural sports program,hasAward,best program
"With 6,000 participants, the university's intramural sports program was named in 2004 by Sports Illustrated as the best program in the country, while in 2007 The Princeton Review named it as the top school where ""Everyone Plays Intramural Sports."" The annual Bookstore Basketball tournament is the largest outdoor five-on-five tournament in the world with over 700 teams participating each year, while the Notre Dame Men's Boxing Club hosts the annual Bengal Bouts tournament that raises money for the Holy Cross Missions in Bangladesh.",The Princeton Review,hasAward,top school
"With 6,000 participants, the university's intramural sports program was named in 2004 by Sports Illustrated as the best program in the country, while in 2007 The Princeton Review named it as the top school where ""Everyone Plays Intramural Sports."" The annual Bookstore Basketball tournament is the largest outdoor five-on-five tournament in the world with over 700 teams participating each year, while the Notre Dame Men's Boxing Club hosts the annual Bengal Bouts tournament that raises money for the Holy Cross Missions in Bangladesh.",annual Bookstore Basketball tournament,partOf,university's intramural sports program
"With 6,000 participants, the university's intramural sports program was named in 2004 by Sports Illustrated as the best program in the country, while in 2007 The Princeton Review named it as the top school where ""Everyone Plays Intramural Sports."" The annual Bookstore Basketball tournament is the largest outdoor five-on-five tournament in the world with over 700 teams participating each year, while the Notre Dame Men's Boxing Club hosts the annual Bengal Bouts tournament that raises money for the Holy Cross Missions in Bangladesh.",annual Bookstore Basketball tournament,hasCharacteristic,largest outdoor five-on-five tournament
"With 6,000 participants, the university's intramural sports program was named in 2004 by Sports Illustrated as the best program in the country, while in 2007 The Princeton Review named it as the top school where ""Everyone Plays Intramural Sports."" The annual Bookstore Basketball tournament is the largest outdoor five-on-five tournament in the world with over 700 teams participating each year, while the Notre Dame Men's Boxing Club hosts the annual Bengal Bouts tournament that raises money for the Holy Cross Missions in Bangladesh.",Notre Dame Men's Boxing Club,hasProject,annual Bengal Bouts tournament
"With 6,000 participants, the university's intramural sports program was named in 2004 by Sports Illustrated as the best program in the country, while in 2007 The Princeton Review named it as the top school where ""Everyone Plays Intramural Sports."" The annual Bookstore Basketball tournament is the largest outdoor five-on-five tournament in the world with over 700 teams participating each year, while the Notre Dame Men's Boxing Club hosts the annual Bengal Bouts tournament that raises money for the Holy Cross Missions in Bangladesh.",annual Bengal Bouts tournament,causedBy,raises money for the Holy Cross Missions
"With 6,000 participants, the university's intramural sports program was named in 2004 by Sports Illustrated as the best program in the country, while in 2007 The Princeton Review named it as the top school where ""Everyone Plays Intramural Sports."" The annual Bookstore Basketball tournament is the largest outdoor five-on-five tournament in the world with over 700 teams participating each year, while the Notre Dame Men's Boxing Club hosts the annual Bengal Bouts tournament that raises money for the Holy Cross Missions in Bangladesh.",annual Bengal Bouts tournament,locatedIn,Bangladesh
About 80% of undergraduates and 20% of graduate students live on campus,undergraduates,locatedIn,campus
About 80% of undergraduates and 20% of graduate students live on campus,graduate students,locatedIn,campus
"The majority of the graduate students on campus live in one of four graduate housing complexes on campus, while all on-campus undergraduates live in one of the 29 residence halls",graduate students,locatedIn,graduate housing complexes
"The majority of the graduate students on campus live in one of four graduate housing complexes on campus, while all on-campus undergraduates live in one of the 29 residence halls",on-campus undergraduates,locatedIn,residence halls
"Because of the religious affiliation of the university, all residence halls are single-sex, with 15 male dorms and 14 female dorms",university,hasCharacteristic,single-sex
"Because of the religious affiliation of the university, all residence halls are single-sex, with 15 male dorms and 14 female dorms",university,hasProject,residence halls
"Because of the religious affiliation of the university, all residence halls are single-sex, with 15 male dorms and 14 female dorms",residence halls,partOf,university
"Because of the religious affiliation of the university, all residence halls are single-sex, with 15 male dorms and 14 female dorms",male dorms,partOf,residence halls
"Because of the religious affiliation of the university, all residence halls are single-sex, with 15 male dorms and 14 female dorms",female dorms,partOf,residence halls
"The university maintains a visiting policy (known as parietal hours) for those students who live in dormitories, specifying times when members of the opposite sex are allowed to visit other students' dorm rooms; however, all residence halls have 24-hour social spaces for students regardless of gender",university,maintains,visiting policy
"The university maintains a visiting policy (known as parietal hours) for those students who live in dormitories, specifying times when members of the opposite sex are allowed to visit other students' dorm rooms; however, all residence halls have 24-hour social spaces for students regardless of gender",visiting policy,hasCharacteristic,parietal hours
"The university maintains a visiting policy (known as parietal hours) for those students who live in dormitories, specifying times when members of the opposite sex are allowed to visit other students' dorm rooms; however, all residence halls have 24-hour social spaces for students regardless of gender",students,liveIn,dormitories
"The university maintains a visiting policy (known as parietal hours) for those students who live in dormitories, specifying times when members of the opposite sex are allowed to visit other students' dorm rooms; however, all residence halls have 24-hour social spaces for students regardless of gender",dormitories,has,24-hour social spaces
"The university maintains a visiting policy (known as parietal hours) for those students who live in dormitories, specifying times when members of the opposite sex are allowed to visit other students' dorm rooms; however, all residence halls have 24-hour social spaces for students regardless of gender",24-hour social spaces,isFor,students
Many residence halls have at least one nun and/or priest as a resident,residence halls,has,nun
Many residence halls have at least one nun and/or priest as a resident,residence halls,has,priest
"There are no traditional social fraternities or sororities at the university, but a majority of students live in the same residence hall for all four years",university,locatedIn,residence hall
"Some intramural sports are based on residence hall teams, where the university offers the only non-military academy program of full-contact intramural American football",university,offers,non-military academy program
"Some intramural sports are based on residence hall teams, where the university offers the only non-military academy program of full-contact intramural American football",non-military academy program,of,full-contact intramural American football
"At the end of the intramural season, the championship game is played on the field in Notre Dame Stadium.",championship game,locatedIn,Notre Dame Stadium
"The university is affiliated with the Congregation of Holy Cross (Latin: Congregatio a Sancta Cruce, abbreviated postnominals: ""CSC"")",The university,is affiliated with,Congregation of Holy Cross
"The university is affiliated with the Congregation of Holy Cross (Latin: Congregatio a Sancta Cruce, abbreviated postnominals: ""CSC"")",Congregation of Holy Cross,hasAbbreviation,CSC
"While religious affiliation is not a criterion for admission, more than 93% of students identify as Christian, with over 80% of the total being Catholic",students,identify,Christian
"While religious affiliation is not a criterion for admission, more than 93% of students identify as Christian, with over 80% of the total being Catholic",students,identify,Catholic
"Collectively, Catholic Mass is celebrated over 100 times per week on campus, and a large campus ministry program provides for the faith needs of the community",Catholic Mass,locatedIn,campus
"Collectively, Catholic Mass is celebrated over 100 times per week on campus, and a large campus ministry program provides for the faith needs of the community",campus ministry program,partOf,campus
"Collectively, Catholic Mass is celebrated over 100 times per week on campus, and a large campus ministry program provides for the faith needs of the community",campus ministry program,provides,faith needs of the community
"There are multitudes of religious statues and artwork around campus, most prominent of which are the statue of Mary on the Main Building, the Notre Dame Grotto, and the Word of Life mural on Hesburgh Library depicting Christ as a teacher",Mary,locatedIn,Main Building
"There are multitudes of religious statues and artwork around campus, most prominent of which are the statue of Mary on the Main Building, the Notre Dame Grotto, and the Word of Life mural on Hesburgh Library depicting Christ as a teacher",Notre Dame Grotto,locatedIn,campus
"There are multitudes of religious statues and artwork around campus, most prominent of which are the statue of Mary on the Main Building, the Notre Dame Grotto, and the Word of Life mural on Hesburgh Library depicting Christ as a teacher",Word of Life mural,locatedIn,Hesburgh Library
"There are multitudes of religious statues and artwork around campus, most prominent of which are the statue of Mary on the Main Building, the Notre Dame Grotto, and the Word of Life mural on Hesburgh Library depicting Christ as a teacher",Christ,partOf,Word of Life mural
"There are multitudes of religious statues and artwork around campus, most prominent of which are the statue of Mary on the Main Building, the Notre Dame Grotto, and the Word of Life mural on Hesburgh Library depicting Christ as a teacher",Christ,hasCharacteristic,teacher
"Additionally, every classroom displays a crucifix",classroom,locatedIn,
"Additionally, every classroom displays a crucifix",classroom,hasCharacteristic,crucifix
"There are many religious clubs (catholic and non-Catholic) at the school, including Council #1477 of the Knights of Columbus (KOC), Baptist Collegiate Ministry (BCM), Jewish Club, Muslim Student Association, Orthodox Christian Fellowship, The Mormon Club, and many more",Council #1477 of the Knights of Columbus,partOf,Knights of Columbus
"There are many religious clubs (catholic and non-Catholic) at the school, including Council #1477 of the Knights of Columbus (KOC), Baptist Collegiate Ministry (BCM), Jewish Club, Muslim Student Association, Orthodox Christian Fellowship, The Mormon Club, and many more",Baptist Collegiate Ministry,partOf,Baptist
"There are many religious clubs (catholic and non-Catholic) at the school, including Council #1477 of the Knights of Columbus (KOC), Baptist Collegiate Ministry (BCM), Jewish Club, Muslim Student Association, Orthodox Christian Fellowship, The Mormon Club, and many more",Jewish Club,partOf,Jewish
"There are many religious clubs (catholic and non-Catholic) at the school, including Council #1477 of the Knights of Columbus (KOC), Baptist Collegiate Ministry (BCM), Jewish Club, Muslim Student Association, Orthodox Christian Fellowship, The Mormon Club, and many more",Muslim Student Association,partOf,Muslim
"There are many religious clubs (catholic and non-Catholic) at the school, including Council #1477 of the Knights of Columbus (KOC), Baptist Collegiate Ministry (BCM), Jewish Club, Muslim Student Association, Orthodox Christian Fellowship, The Mormon Club, and many more",Orthodox Christian Fellowship,partOf,Orthodox Christian
"There are many religious clubs (catholic and non-Catholic) at the school, including Council #1477 of the Knights of Columbus (KOC), Baptist Collegiate Ministry (BCM), Jewish Club, Muslim Student Association, Orthodox Christian Fellowship, The Mormon Club, and many more",The Mormon Club,partOf,Mormon
"The Notre Dame KofC are known for being the first collegiate council of KofC, operating a charitable concession stand during every home football game and owning their own building on campus which can be used as a cigar lounge",Notre Dame KofC,locatedIn,campus
"The Notre Dame KofC are known for being the first collegiate council of KofC, operating a charitable concession stand during every home football game and owning their own building on campus which can be used as a cigar lounge",Notre Dame KofC,owns,building
"The Notre Dame KofC are known for being the first collegiate council of KofC, operating a charitable concession stand during every home football game and owning their own building on campus which can be used as a cigar lounge",building,usedAs,cigar lounge
Fifty-seven chapels are located throughout the campus.,Fifty-seven chapels,locatedIn,campus
"This Main Building, and the library collection, was entirely destroyed by a fire in April 1879, and the school closed immediately and students were sent home",This Main Building,locatedIn,
"This Main Building, and the library collection, was entirely destroyed by a fire in April 1879, and the school closed immediately and students were sent home",the library collection,partOf,This Main Building
"This Main Building, and the library collection, was entirely destroyed by a fire in April 1879, and the school closed immediately and students were sent home",the school,locatedIn,
"This Main Building, and the library collection, was entirely destroyed by a fire in April 1879, and the school closed immediately and students were sent home",the fire,occured,April 1879
"This Main Building, and the library collection, was entirely destroyed by a fire in April 1879, and the school closed immediately and students were sent home",the school,closed,
"This Main Building, and the library collection, was entirely destroyed by a fire in April 1879, and the school closed immediately and students were sent home",students,partOf,the school
"The university founder, Fr",The university,hasFounder,Fr
"Sorin and the president at the time, the Rev",Sorin,is,the president
"William Corby, immediately planned for the rebuilding of the structure that had housed virtually the entire University",William Corby,partOf,University
Construction was started on the 17th of May and by the incredible zeal of administrator and workers the building was completed before the fall semester of 1879,Construction,occured,17th of May
Construction was started on the 17th of May and by the incredible zeal of administrator and workers the building was completed before the fall semester of 1879,Construction,occured,1879
The library collection was also rebuilt and stayed housed in the new Main Building for years afterwards,library collection,locatedIn,Main Building
"Around the time of the fire, a music hall was opened",music hall,opened,Around the time of the fire
"Eventually becoming known as Washington Hall, it hosted plays and musical acts put on by the school",Washington Hall,locatedIn,school
"By 1880, a science program was established at the university, and a Science Hall (today LaFortune Student Center) was built in 1883",Science Hall,locatedIn,university
"By 1880, a science program was established at the university, and a Science Hall (today LaFortune Student Center) was built in 1883",Science Hall,partOf,LaFortune Student Center
"By 1880, a science program was established at the university, and a Science Hall (today LaFortune Student Center) was built in 1883",LaFortune Student Center,partOf,university
The hall housed multiple classrooms and science labs needed for early research at the university.,The hall,partOf,the university
"In 1919 Father James Burns became president of Notre Dame, and in three years he produced an academic revolution that brought the school up to national standards by adopting the elective system and moving away from the university's traditional scholastic and classical emphasis",Father James Burns,worksFor,Notre Dame
"In 1919 Father James Burns became president of Notre Dame, and in three years he produced an academic revolution that brought the school up to national standards by adopting the elective system and moving away from the university's traditional scholastic and classical emphasis",Notre Dame,locatedIn,
"In 1919 Father James Burns became president of Notre Dame, and in three years he produced an academic revolution that brought the school up to national standards by adopting the elective system and moving away from the university's traditional scholastic and classical emphasis",Notre Dame,hasProject,academic revolution
"In 1919 Father James Burns became president of Notre Dame, and in three years he produced an academic revolution that brought the school up to national standards by adopting the elective system and moving away from the university's traditional scholastic and classical emphasis",academic revolution,occured,1919
"In 1919 Father James Burns became president of Notre Dame, and in three years he produced an academic revolution that brought the school up to national standards by adopting the elective system and moving away from the university's traditional scholastic and classical emphasis",Notre Dame,hasCharacteristic,elective system
"In 1919 Father James Burns became president of Notre Dame, and in three years he produced an academic revolution that brought the school up to national standards by adopting the elective system and moving away from the university's traditional scholastic and classical emphasis",Notre Dame,hasCharacteristic,scholastic and classical emphasis
"By contrast, the Jesuit colleges, bastions of academic conservatism, were reluctant to move to a system of electives",Jesuit colleges,locatedIn,
"By contrast, the Jesuit colleges, bastions of academic conservatism, were reluctant to move to a system of electives",Jesuit colleges,partOf,academic conservatism
Their graduates were shut out of Harvard Law School for that reason,Their graduates,alumniOf,Harvard Law School
"Notre Dame continued to grow over the years, adding more colleges, programs, and sports teams",Notre Dame,partOf,colleges
"Notre Dame continued to grow over the years, adding more colleges, programs, and sports teams",Notre Dame,partOf,programs
"Notre Dame continued to grow over the years, adding more colleges, programs, and sports teams",Notre Dame,partOf,sports teams
"By 1921, with the addition of the College of Commerce, Notre Dame had grown from a small college to a university with five colleges and a professional law school",Notre Dame,partOf,university
"By 1921, with the addition of the College of Commerce, Notre Dame had grown from a small college to a university with five colleges and a professional law school",College of Commerce,partOf,Notre Dame
"By 1921, with the addition of the College of Commerce, Notre Dame had grown from a small college to a university with five colleges and a professional law school",Notre Dame,hasProject,professional law school
The university continued to expand and add new residence halls and buildings with each subsequent president.,The university,locatedIn,
The university continued to expand and add new residence halls and buildings with each subsequent president.,The university,hasProject,new residence halls and buildings
"One of the main driving forces in the growth of the University was its football team, the Notre Dame Fighting Irish",University,partOf,Notre Dame
"One of the main driving forces in the growth of the University was its football team, the Notre Dame Fighting Irish",Notre Dame Fighting Irish,partOf,University
Knute Rockne became head coach in 1918,Knute Rockne,became,head coach
Knute Rockne became head coach in 1918,Knute Rockne,bornIn,1918
"Under Rockne, the Irish would post a record of 105 wins, 12 losses, and five ties",Rockne,worksFor,Irish
"During his 13 years the Irish won three national championships, had five undefeated seasons, won the Rose Bowl in 1925, and produced players such as George Gipp and the ""Four Horsemen""",Irish,partOf,national championships
"During his 13 years the Irish won three national championships, had five undefeated seasons, won the Rose Bowl in 1925, and produced players such as George Gipp and the ""Four Horsemen""",Irish,partOf,undefeated seasons
"During his 13 years the Irish won three national championships, had five undefeated seasons, won the Rose Bowl in 1925, and produced players such as George Gipp and the ""Four Horsemen""",Irish,partOf,Rose Bowl
"During his 13 years the Irish won three national championships, had five undefeated seasons, won the Rose Bowl in 1925, and produced players such as George Gipp and the ""Four Horsemen""",Irish,produced,George Gipp
"During his 13 years the Irish won three national championships, had five undefeated seasons, won the Rose Bowl in 1925, and produced players such as George Gipp and the ""Four Horsemen""",Irish,produced,Four Horsemen
Knute Rockne has the highest winning percentage (.881) in NCAA Division I/FBS football history,Knute Rockne,hasCharacteristic,.881
Knute Rockne has the highest winning percentage (.881) in NCAA Division I/FBS football history,Knute Rockne,partOf,NCAA Division I/FBS football history
Rockne's offenses employed the Notre Dame Box and his defenses ran a 7–2–2 scheme,Rockne,employed,Notre Dame Box
Rockne's offenses employed the Notre Dame Box and his defenses ran a 7–2–2 scheme,Rockne,ran,7–2–2 scheme
"The last game Rockne coached was on December 14, 1930 when he led a group of Notre Dame all-stars against the New York Giants in New York City.",Rockne,coached,Notre Dame
"The last game Rockne coached was on December 14, 1930 when he led a group of Notre Dame all-stars against the New York Giants in New York City.",Rockne,coached,New York Giants
"The last game Rockne coached was on December 14, 1930 when he led a group of Notre Dame all-stars against the New York Giants in New York City.",Rockne,locatedIn,New York City
"The last game Rockne coached was on December 14, 1930 when he led a group of Notre Dame all-stars against the New York Giants in New York City.",Notre Dame,locatedIn,New York City
"The last game Rockne coached was on December 14, 1930 when he led a group of Notre Dame all-stars against the New York Giants in New York City.",New York Giants,locatedIn,New York City
"The last game Rockne coached was on December 14, 1930 when he led a group of Notre Dame all-stars against the New York Giants in New York City.",Rockne,occured,"December 14, 1930"
